Method,Count,ms
ffos,1,79.923042
ffos,1,80.272359
ffos,1,82.657106
ffos,1,71.79521
ffos,1,86.167625
ffos,1,93.972216
ffos,1,131.613402
ffos,1,87.869378
ffos,1,88.473714
ffos,1,277.381868
rdb,1,5.307666
rdb,1,2.105436
rdb,1,1.833949
rdb,1,1.877341
rdb,1,3.852665
rdb,1,3.485402
rdb,1,1.361275
rdb,1,2.363484
rdb,1,35.239877
rdb,1,1.546143
ffos,2,142.645623
ffos,2,136.061164
ffos,2,144.444235
ffos,2,145.594791
ffos,2,152.950596
ffos,2,166.625135
ffos,2,160.837528
ffos,2,185.565151
ffos,2,164.287124
ffos,2,161.550102
rdb,2,74.079735
rdb,2,55.415497
rdb,2,58.261039
rdb,2,51.297367
rdb,2,50.355658
rdb,2,131.079827
rdb,2,101.962053
rdb,2,95.72616
rdb,2,76.65457
rdb,2,62.548866
ffos,4,362.725998
ffos,4,256.142991
ffos,4,259.796692
ffos,4,330.636594
ffos,4,273.511507
ffos,4,283.782266
ffos,4,268.974453
ffos,4,268.940558
ffos,4,283.353588
ffos,4,270.073331
rdb,4,217.098583
rdb,4,206.90326
rdb,4,220.971765
rdb,4,180.762863
rdb,4,158.277366
rdb,4,155.431995
rdb,4,193.020558
rdb,4,153.809973
rdb,4,272.274256
rdb,4,217.788986
ffos,10,604.457223
ffos,10,641.015129
ffos,10,624.579118
ffos,10,586.746989
ffos,10,615.908378
ffos,10,667.289395
ffos,10,598.487654
ffos,10,608.475414
ffos,10,616.861606
ffos,10,613.639734
rdb,10,557.522954
rdb,10,571.619875
rdb,10,580.567349
rdb,10,574.76854
rdb,10,679.347887
rdb,10,521.337869
rdb,10,571.150955
rdb,10,595.737102
rdb,10,744.048287
rdb,10,594.001585
ffos,20,1137.032404
ffos,20,1128.454005
ffos,20,1126.460894
ffos,20,1264.802005
ffos,20,1136.760884
ffos,20,1140.921212
ffos,20,1097.731303
ffos,20,1143.332907
ffos,20,1238.729581
ffos,20,1139.900782
rdb,20,1145.388477
rdb,20,1131.885805
rdb,20,1160.900499
rdb,20,1182.598754
rdb,20,1177.864162
rdb,20,1293.458011
rdb,20,1024.008037
rdb,20,1085.247093
rdb,20,1134.655712
rdb,20,1370.376511
ffos,50,2705.671314
ffos,50,2721.07962
ffos,50,2833.734324
ffos,50,2853.51259
ffos,50,3193.634158
ffos,50,2996.17142
ffos,50,3142.838019
ffos,50,2859.840026
ffos,50,3103.485936
ffos,50,2811.514387
rdb,50,3116.005071
rdb,50,3386.287227
rdb,50,2909.090357
rdb,50,3112.920702
rdb,50,2859.928657
rdb,50,2939.958395
rdb,50,3091.335174
rdb,50,3434.19683
rdb,50,2852.403721
rdb,50,2985.900514
ffos,100,5855.273339
ffos,100,5799.010299
ffos,100,5875.097303
ffos,100,5716.166166
ffos,100,5753.569517
ffos,100,5685.105463
ffos,100,5661.271346
ffos,100,5698.400056
ffos,100,5727.136847
ffos,100,5752.638009
rdb,100,6166.730913
rdb,100,5986.98107
rdb,100,5824.98884
rdb,100,5845.874144
rdb,100,6369.417888
rdb,100,6049.502392
rdb,100,6220.140721
rdb,100,6068.113003
rdb,100,6245.754941
rdb,100,5557.38721
